logic,type,inputs,coverage,escape_risk,specificity,leak_burden,leak_tissues,n_crit_leak,protease,prot_spec,prot_cov,crit_leak_before,crit_rescued,crit_still_leak,rescue_frac,safety,complexity_penalty,final_score
(PRLR OR EPCAM) AND MMP11,OR_AND_protease,3,0.48753634095191956,0.5124636888504028,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8933252625012919,0.1,0.7765
(NETO2 OR EPCAM) AND FAP,OR_AND_protease,3,0.47509315609931946,0.5249068737030029,,,,,FAP,0.4078,77.2,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8971496063990817,0.1,0.7656
(NETO2 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.47509315609931946,0.5249068737030029,,,,,ADAM12,0.6592,90.1,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8971496063990817,0.1,0.7656
(NETO2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.47509315609931946,0.5249068737030029,,,,,MMP11,0.6968,97.1,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8971496063990817,0.1,0.7656
(EFNA5 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.47447913885116577,0.5255208611488342,,,,,ADAM12,0.6592,90.1,Brain_Frontal_Cortex_BA9;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Frontal_Cortex_BA9;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.891053953523376,0.1,0.7622
(EFNA5 OR EPCAM) AND FAP,OR_AND_protease,3,0.47447913885116577,0.5255208611488342,,,,,FAP,0.4078,77.2,Brain_Frontal_Cortex_BA9;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Frontal_Cortex_BA9;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.891053953523376,0.1,0.7622
(EFNA5 OR EPCAM) AND MMP11,OR_AND_protease,3,0.47447913885116577,0.5255208611488342,,,,,MMP11,0.6968,97.1,Brain_Frontal_Cortex_BA9;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Frontal_Cortex_BA9;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.891053953523376,0.1,0.7622
(DCBLD1 OR EPCAM) AND FAP,OR_AND_protease,3,0.47449958324432373,0.5255004167556763,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.888096702140005,0.1,0.7609
(DCBLD1 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.47449958324432373,0.5255004167556763,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.888096702140005,0.1,0.7609
(DCBLD1 OR EPCAM) AND MMP11,OR_AND_protease,3,0.47449958324432373,0.5255004167556763,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.888096702140005,0.1,0.7609
(MET OR EPCAM) AND FAP,OR_AND_protease,3,0.4785313904285431,0.5214686393737793,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Liver;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Liver;Lung;Pancreas,,1.0,0.8742664205925571,0.1,0.7588
(MET OR EPCAM) AND ADAM12,OR_AND_protease,3,0.4785313904285431,0.5214686393737793,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Liver;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Liver;Lung;Pancreas,,1.0,0.8742664205925571,0.1,0.7588
(MET OR EPCAM) AND MMP11,OR_AND_protease,3,0.4785313904285431,0.5214686393737793,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Liver;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Liver;Lung;Pancreas,,1.0,0.8742664205925571,0.1,0.7588
(CDH3 OR EPCAM) AND FAP,OR_AND_protease,3,0.49631616473197937,0.5036838054656982,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8301695679301945,0.1,0.757
(CDH3 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.49631616473197937,0.5036838054656982,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8301695679301945,0.1,0.757
(CDH3 OR EPCAM) AND MMP11,OR_AND_protease,3,0.49631616473197937,0.5036838054656982,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8301695679301945,0.1,0.757
(LDLRAD4 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.4908108711242676,0.5091891288757324,,,,,ADAM12,0.6592,90.1,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8354534177496589,0.1,0.7538
(LDLRAD4 OR EPCAM) AND MMP11,OR_AND_protease,3,0.4908108711242676,0.5091891288757324,,,,,MMP11,0.6968,97.1,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8354534177496589,0.1,0.7538
(LDLRAD4 OR EPCAM) AND FAP,OR_AND_protease,3,0.4908108711242676,0.5091891288757324,,,,,FAP,0.4078,77.2,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8354534177496589,0.1,0.7538
(CD109 OR EPCAM) AND MMP11,OR_AND_protease,3,0.500184178352356,0.49981582164764404,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8119473702208515,0.1,0.7527
(CD109 OR EPCAM) AND FAP,OR_AND_protease,3,0.500184178352356,0.49981582164764404,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8119473702208515,0.1,0.7527
(CD109 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.500184178352356,0.49981582164764404,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8119473702208515,0.1,0.7527
(SLC33A1 OR EPCAM) AND MMP11,OR_AND_protease,3,0.49025827646255493,0.5097417235374451,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8271172362549104,0.1,0.7495
(SLC33A1 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.49025827646255493,0.5097417235374451,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8271172362549104,0.1,0.7495
(SLC33A1 OR EPCAM) AND FAP,OR_AND_protease,3,0.49025827646255493,0.5097417235374451,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8271172362549104,0.1,0.7495
(EFNA4 OR EPCAM) AND MMP11,OR_AND_protease,3,0.49496540427207947,0.5050345659255981,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8116156512516245,0.1,0.7473
(EFNA4 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.49496540427207947,0.5050345659255981,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8116156512516245,0.1,0.7473
(EFNA4 OR EPCAM) AND FAP,OR_AND_protease,3,0.49496540427207947,0.5050345659255981,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8116156512516245,0.1,0.7473
